AIRPORT_NAME,AIRPORT_ZIP_CODE,DEPARTURE_CODE,DOMESTIC_CODE,TICKETS_SOLD,TAIL_NUMBER,PLANE_MODEL,DESTINATION_CODE,DEPARTING_DELAY,SCHEDULED_DEPARTURE_UTC
Seattle–Tacoma International Airport,98158,SEA,DLTA,236,#N663RGT,Boeing 767,ORD,1,2024-07-02 05:52:00.000
O'Hare International Airport,60666,ORD,AA,241,#V874UTM,Boeing 767,MIA,0,2024-07-02 05:53:00.000
John F. Kennedy International Airport,11430,JFK,AA,335,#V352ZCE,Boeing 747,IAH,0,2024-07-02 05:54:00.000
Denver International Airport,80249,DEN,DLTA,229,#P801RAT,Airbus A350,PHX,0,2024-07-02 05:56:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,283,#O999PWR,Boeing 747,SEA,0,2024-07-02 05:56:00.000
Orlando International Airport,32827,MCO,UA,119,#J672STH,Airbus A320neo,CLT,0,2024-07-02 05:57:00.000
George Bush Intercontinental Airport,77032,IAH,AA,203,#K823MQV,Boeing 787 Dreamliner,SFO,0,2024-07-02 05:58:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,129,#L335MZC,Boeing 737 MAX,EWR,0,2024-07-02 05:59:00.000
Miami International Airport,33126,MIA,UA,123,#F567VRQ,Boeing 737 MAX,CLT,0,2024-07-02 06:02:00.000
Harry Reid International Airport,89119,LAS,UA,272,#L409VUJ,Boeing 747,DFW,0,2024-07-02 06:04:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,259,#Q744ZOY,Boeing 777,PHX,0,2024-07-02 06:06:00.000
Newark Liberty International Airport,07114,EWR,DLTA,247,#M416LPW,Airbus A330,IAH,0,2024-07-02 06:08:00.000
Logan International Airport,02128,BOS,UA,99,#A951YWW,Airbus A320,JFK,0,2024-07-02 06:09:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,357,#H718OXB,Airbus A380,CLT,0,2024-07-02 06:09:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,209,#H821KTZ,Airbus A330,CLT,0,2024-07-02 06:10:00.000
San Francisco International Airport,94128,SFO,UA,227,#W713VMZ,Airbus A330,DEN,0,2024-07-02 06:11:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,287,#Z408CYJ,Airbus A350,IAH,0,2024-07-02 06:11:00.000
Los Angeles International Airport,90045,LAX,DLTA,293,#V873ZGR,Boeing 777,MSP,0,2024-07-02 06:15:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,98,#O374RBY,Boeing 737,ATL,0,2024-07-02 06:54:00.000
San Francisco International Airport,94128,SFO,UA,201,#O030PIE,Airbus A330,IAH,0,2024-07-02 06:58:00.000
Denver International Airport,80249,DEN,AA,245,#H253CRF,Boeing 787 Dreamliner,JFK,0,2024-07-02 06:58:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,231,#M611YCN,Boeing 767,BOS,0,2024-07-02 06:58:00.000
Harry Reid International Airport,89119,LAS,AA,134,#I043RAT,Airbus A320neo,CLT,0,2024-07-02 06:59:00.000
Newark Liberty International Airport,07114,EWR,AA,134,#E488TCL,Boeing 737 MAX,LAX,0,2024-07-02 07:02:00.000
George Bush Intercontinental Airport,77032,IAH,UA,208,#Y872YFR,Airbus A350,PHX,0,2024-07-02 07:03:00.000
Miami International Airport,33126,MIA,UA,230,#T659FTT,Boeing 767,IAH,0,2024-07-02 07:03:00.000
Los Angeles International Airport,90045,LAX,DLTA,269,#G744RRE,Boeing 777,LAS,0,2024-07-02 07:06:00.000
Logan International Airport,02128,BOS,UA,318,#E898NXW,Boeing 747,MIA,0,2024-07-02 07:07:00.000
John F. Kennedy International Airport,11430,JFK,UA,329,#D650DHS,Boeing 747,LAS,0,2024-07-02 07:07:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,264,#G457CLR,Boeing 747,MCO,0,2024-07-02 07:08:00.000
Orlando International Airport,32827,MCO,UA,152,#C217MCC,Boeing 737 MAX,DEN,0,2024-07-02 07:13:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,272,#X785KQV,Boeing 747,ORD,0,2024-07-02 07:14:00.000
